video_id,label
01-02-01-01-01-01-01,neutral
01-02-01-01-01-02-01,neutral
01-02-01-01-02-01-01,neutral
01-02-01-01-02-02-01,neutral
01-02-02-01-01-01-01,neutral
01-02-02-01-01-02-01,neutral
01-02-02-01-02-01-01,neutral
01-02-02-01-02-02-01,neutral
01-02-02-02-01-01-01,neutral
01-02-02-02-01-02-01,neutral
01-02-02-02-02-01-01,neutral
01-02-02-02-02-02-01,neutral
01-02-03-01-01-01-01,joy
01-02-03-01-01-02-01,joy
01-02-03-01-02-01-01,joy
01-02-03-01-02-02-01,joy
01-02-03-02-01-01-01,joy
01-02-03-02-01-02-01,joy
01-02-03-02-02-01-01,joy
01-02-03-02-02-02-01,joy
01-02-04-01-01-01-01,sadness
01-02-04-01-01-02-01,sadness
01-02-04-01-02-01-01,sadness
01-02-04-01-02-02-01,sadness
01-02-04-02-01-01-01,sadness
01-02-04-02-01-02-01,sadness
01-02-04-02-02-01-01,sadness
01-02-04-02-02-02-01,sadness
01-02-05-01-01-01-01,anger
01-02-05-01-01-02-01,anger
01-02-05-01-02-01-01,anger
01-02-05-01-02-02-01,anger
01-02-05-02-01-01-01,anger
01-02-05-02-01-02-01,anger
01-02-05-02-02-01-01,anger
01-02-05-02-02-02-01,anger
01-02-06-01-01-01-01,fear
01-02-06-01-01-02-01,fear
01-02-06-01-02-01-01,fear
01-02-06-01-02-02-01,fear
01-02-06-02-01-01-01,fear
01-02-06-02-01-02-01,fear
01-02-06-02-02-01-01,fear
01-02-06-02-02-02-01,fear
02-02-01-01-01-01-01,neutral
02-02-01-01-01-02-01,neutral
02-02-01-01-02-01-01,neutral
02-02-01-01-02-02-01,neutral
02-02-02-01-01-01-01,neutral
02-02-02-01-01-02-01,neutral
02-02-02-01-02-01-01,neutral
02-02-02-01-02-02-01,neutral
02-02-02-02-01-01-01,neutral
02-02-02-02-01-02-01,neutral
02-02-02-02-02-01-01,neutral
02-02-02-02-02-02-01,neutral
02-02-03-01-01-01-01,joy
02-02-03-01-01-02-01,joy
02-02-03-01-02-01-01,joy
02-02-03-01-02-02-01,joy
02-02-03-02-01-01-01,joy
02-02-03-02-01-02-01,joy
02-02-03-02-02-01-01,joy
02-02-03-02-02-02-01,joy
02-02-04-01-01-01-01,sadness
02-02-04-01-01-02-01,sadness
02-02-04-01-02-01-01,sadness
02-02-04-01-02-02-01,sadness
02-02-04-02-01-01-01,sadness
02-02-04-02-01-02-01,sadness
02-02-04-02-02-01-01,sadness
02-02-04-02-02-02-01,sadness
02-02-05-01-01-01-01,anger
02-02-05-01-01-02-01,anger
02-02-05-01-02-01-01,anger
02-02-05-01-02-02-01,anger
02-02-05-02-01-01-01,anger
02-02-05-02-01-02-01,anger
02-02-05-02-02-01-01,anger
02-02-05-02-02-02-01,anger
02-02-06-01-01-01-01,fear
02-02-06-01-01-02-01,fear
02-02-06-01-02-01-01,fear
02-02-06-01-02-02-01,fear
02-02-06-02-01-01-01,fear
02-02-06-02-01-02-01,fear
02-02-06-02-02-01-01,fear
02-02-06-02-02-02-01,fear
01-02-01-01-01-01-02,neutral
01-02-01-01-01-02-02,neutral
01-02-01-01-02-01-02,neutral
01-02-01-01-02-02-02,neutral
01-02-02-01-01-01-02,neutral
01-02-02-01-01-02-02,neutral
01-02-02-01-02-01-02,neutral
01-02-02-01-02-02-02,neutral
01-02-02-02-01-01-02,neutral
01-02-02-02-01-02-02,neutral
01-02-02-02-02-01-02,neutral
01-02-02-02-02-02-02,neutral
01-02-03-01-01-01-02,joy
01-02-03-01-01-02-02,joy
01-02-03-01-02-01-02,joy
01-02-03-01-02-02-02,joy
01-02-03-02-01-01-02,joy
01-02-03-02-01-02-02,joy
01-02-03-02-02-01-02,joy
01-02-03-02-02-02-02,joy
01-02-04-01-01-01-02,sadness
01-02-04-01-01-02-02,sadness
01-02-04-01-02-01-02,sadness
01-02-04-01-02-02-02,sadness
01-02-04-02-01-01-02,sadness
01-02-04-02-01-02-02,sadness
01-02-04-02-02-01-02,sadness
01-02-04-02-02-02-02,sadness
01-02-05-01-01-01-02,anger
01-02-05-01-01-02-02,anger
01-02-05-01-02-01-02,anger
01-02-05-01-02-02-02,anger
01-02-05-02-01-01-02,anger
01-02-05-02-01-02-02,anger
01-02-05-02-02-01-02,anger
01-02-05-02-02-02-02,anger
01-02-06-01-01-01-02,fear
01-02-06-01-01-02-02,fear
01-02-06-01-02-01-02,fear
01-02-06-01-02-02-02,fear
01-02-06-02-01-01-02,fear
01-02-06-02-01-02-02,fear
01-02-06-02-02-01-02,fear
01-02-06-02-02-02-02,fear
02-02-01-01-01-01-02,neutral
02-02-01-01-01-02-02,neutral
02-02-01-01-02-01-02,neutral
02-02-01-01-02-02-02,neutral
02-02-02-01-01-01-02,neutral
02-02-02-01-01-02-02,neutral
02-02-02-01-02-01-02,neutral
02-02-02-01-02-02-02,neutral
02-02-02-02-01-01-02,neutral
02-02-02-02-01-02-02,neutral
02-02-02-02-02-01-02,neutral
02-02-02-02-02-02-02,neutral
02-02-03-01-01-01-02,joy
02-02-03-01-01-02-02,joy
02-02-03-01-02-01-02,joy
02-02-03-01-02-02-02,joy
02-02-03-02-01-01-02,joy
02-02-03-02-01-02-02,joy
02-02-03-02-02-01-02,joy
02-02-03-02-02-02-02,joy
